TEAM,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%
Chicago Bulls,66,50,16,0.758,"3,188",49,0.255,15.2,32.6,45,0.236,14.3,25.7
San Antonio Spurs,66,50,16,0.758,"3,188",52.8,0.261,14.2,25.1,48.9,0.222,14.3,24
Oklahoma City Thunder,66,47,19,0.712,"3,198",51.6,0.334,17,27.8,46.5,0.27,14.6,27.9
Miami Heat,66,46,20,0.697,"3,208",50.5,0.307,16.1,26.6,47.9,0.277,17.6,26.1
Indiana Pacers,66,42,24,0.636,"3,198",47.4,0.321,14.8,29.2,47.6,0.305,15.9,27.7
Memphis Grizzlies,66,41,25,0.621,"3,188",47.3,0.277,15.4,29.8,48.5,0.297,18.2,27.3
Los Angeles Lakers,66,41,25,0.621,"3,213",49.1,0.299,16,29.1,47.6,0.213,12,25.2
Atlanta Hawks,66,40,26,0.606,"3,233",50,0.259,14.8,23.9,48,0.247,16,25.6
Los Angeles Clippers,66,40,26,0.606,"3,193",50.2,0.287,14.4,29.5,49.2,0.329,15.9,26.8
Boston Celtics,66,39,27,0.591,"3,188",49.6,0.257,16,19.7,45.2,0.285,16.8,27.6
Denver Nuggets,66,38,28,0.576,"3,208",51.6,0.326,15.7,27.7,50.8,0.243,15.9,25.7
Orlando Magic,66,37,29,0.561,"3,193",50.6,0.292,16.2,26.5,48.8,0.246,14.3,24.5
Utah Jazz,66,36,30,0.545,"3,233",48.1,0.302,14.8,30.2,49.3,0.325,15.3,26.2
Dallas Mavericks,66,36,30,0.545,"3,213",48.9,0.246,14.8,23.4,47.9,0.27,15.5,25.2
New York Knicks,66,36,30,0.545,"3,188",49.2,0.306,16.6,26.6,48.5,0.304,17.7,26.3
Philadelphia 76ers,66,35,31,0.53,"3,183",48,0.217,12.1,24.4,46,0.255,15,24.8
Houston Rockets,66,34,32,0.515,"3,213",49.2,0.235,15.2,27.5,49,0.275,15.4,26.6
Phoenix Suns,66,33,33,0.5,"3,168",49.9,0.257,14.8,25.8,49.1,0.262,14.8,28.3
Milwaukee Bucks,66,31,35,0.47,"3,173",48.1,0.25,14.6,27.7,48.9,0.281,16.5,29.1
Portland Trail Blazers,66,28,38,0.424,"3,193",48.8,0.263,15,26.3,50.4,0.266,15.8,27.2
Minnesota Timberwolves,66,26,40,0.394,"3,188",47.7,0.306,15.7,27.5,49.1,0.248,13.7,27
Detroit Pistons,66,25,41,0.379,"3,193",46.8,0.279,16.8,28.1,50,0.295,15.8,27.2
Golden State Warriors,66,23,43,0.348,"3,183",50.5,0.227,14.6,22.9,49.6,0.318,15.5,30.9
Toronto Raptors,66,23,43,0.348,"3,193",47.5,0.274,16.5,25.9,47.5,0.35,14.2,24.6
New Jersey Nets,66,22,44,0.333,"3,178",47.3,0.269,16.1,27.8,51.3,0.282,15.4,29.3
Sacramento Kings,66,22,44,0.333,"3,183",47.2,0.268,14.7,29.1,51.5,0.262,15.7,29.5
Cleveland Cavaliers,66,21,45,0.318,"3,193",46.3,0.307,16.2,28.9,50.8,0.27,14.7,27.8
New Orleans Hornets,66,21,45,0.318,"3,188",47.6,0.274,17,27.5,48.5,0.287,15.2,26.9
Washington Wizards,66,20,46,0.303,"3,173",47.2,0.253,16,27.3,49.2,0.302,16,29.1
Charlotte Bobcats,66,7,59,0.106,"3,178",43.9,0.276,15.4,23.6,51.2,0.275,14.4,29.1
